id,name,origin,brand,price,width,length,height,weight,description
11,Gajeel and Wendy,Fairy Tail,Tsume,1102,73,56,70,9000,"After Natsu Dragon Slayer HQS+, the other two first-generation Dragon Slayers, Gajeel Redfox and Wendy Marvell, team up to defend Fairy Tail! Thus, this ¼ HQS statue pays tribute to the powerful ties that bind the Slayers to their Dragon but also the members within the guild! With their opposite temperaments, these two lucid Dragon Slayers, present another thing in common: the need to protect their loved ones at all costs!"
12,Justice Buster,Batman,Sideshow,3005,75,71,89,8000,"Straight from the pages of Batman: Endgame No.1, The Joker has infected the rest of the Justice League, and his one command is for them to take out The Batman! Batman has always had contingencies planned for when he believes his fellow Justice Leaguers might go rogue, but the Justice Buster has been created and designed for when they go rogue ALL AT ONCE!"
13,Batman Tactical Throne,Batman,Sideshow,2875,73,66,57,9000,"As you all know, Batman is a DC hero who is no stranger to Prime 1 Studio, but this Batman is unlike any other that we have presented to you before. Based on a variant cover of Batman Vol 3 #111 drawn by Gabriele Dell’Otto, our artisans have pushed the boundaries of sculpting once again to capture Batman’s essence in this truly breathtaking statue."
14,Batman Vs. The Joker,Batman,Sideshow,2770,109,94,84,8000,"Prime 1 Studio is pleased to announce the latest masterwork of collaboration with legendary comic book artist Jason Fabok for our Ultimate Museum Masterline Series: The 1:3 Scale Batman vs. The Joker! With its design, conceived by Jason Fabok, and expertly executed by Prime 1 Studio, Batman vs. The Joker is the ultimate fight brought to life between Good & Evil, Order & Chaos, Reason & Insanity!"
15,Batman Vs. Superman,Batman,Sideshow,2705,76,96,109,9000,"Prime 1 Studio is excited to bring you an iconic, history-making conflict come to life! The latest addition in the Ultimate Diorama Masterline series: Batman vs. Superman from one of the variants covers of The Dark Knight III - The Master Race graphic novel!"
16,Harley Quinn Who Laughs,Batman,Sideshow,1895,44,51,78,8000,"“I'm here to play the game, Batman. You think you're the smartest guy in the room, but you're not even close. I'm the punchline you never saw coming.”. Prime 1 Studio is proud to present this show-stopping addition to the Museum Masterline, here is the incredible 1:3 Scale MMDCMT-13DXS Harley Quinn Who Laughs Deluxe Bonus Version from Dark Nights: Metal!"
17,Darkseid,Batman,Sideshow,1875,78,53,104,9000,"Prime 1 Studio is proud to finally present Death personified in the Museum Masterline DC Theatrical Series: The 1:3 Scale Darkseid from Zack Snyder’s Justice League! 2021’s Justice League, Zack Snyder’s magnum opus for the illustrious DC pantheon, brings us a new version of the story, and with it the immortal Lord of Apokolips! Standing defiantly at over 41 inches on his scorched-earth base, Darkseid is about to show Earth the folly of their resistance."
18,Batman Dark Detective,Batman,Sideshow,1875,56,50,59,8000,"Batman is dead. Bruce Wayne is dead. And in one of the possible futures of the DC Universe, a Future State has risen in Gotham City! In place of the Bat-Family brand of Justice, the Magistrate and his Peacekeepers have taken control of Bruce Wayne’s beloved city. To combat this authoritarian threat to freedom, Bruce has adopted a new and different persona: the Dark Detective!"
19,Death Metal Batman,Batman,Sideshow,1875,71,56,105,9000,"Dark Nights: Death Metal was meant to end all previous storylines and universes into a single universe. With all of reality at stake, it is in the midst of this battlefield that we meet Death Metal Batman. This version of Batman is a head-banging, hard-rocking, lead-guitar soloist of doom as he goes head-to-head against the evil forces of the Darkest Knight, himself, The Batman Who Laughs!"
20,Steppenwolf,Batman,Sideshow,1804,52,54,102,8000,"2021’s Justice League, Zack Snyder’s magnum opus for the illustrious DC pantheon, brings us a new version of the story, and with it, a well-deserved overhaul of Steppenwolf! Ready to take on Earth’s forces at over 40 inches tall on his scorched-earth base, Steppenwolf sizes up the folly of the resistance."
